campaign_id,campaign_name,channel,campaign_type,target_segment,start_date,end_date,budget,impressions,clicks
CMP1047,Acquisition - Email - Medium Business #48,Email,Acquisition,Medium Business,2024-12-26,2025-03-03,3966.4,275,9
CMP1079,Acquisition - Referral - Medium Business #80,Referral,Acquisition,Medium Business,2025-12-01,2025-12-31,629.91,200,16
CMP1013,Acquisition - Display - All Customers #14,Display,Acquisition,All Customers,2024-08-26,2024-10-08,3364.97,200,4
CMP1077,Subscription Offer - Referral - Small Business #78,Referral,Subscription Offer,Small Business,2025-02-14,2025-04-08,1223.69,200,15
CMP1096,Subscription Offer - Social Media - All Customers #97,Social Media,Subscription Offer,All Customers,2025-05-17,2025-05-31,2530.66,200,5
CMP1041,Upgrade - Paid Search - Free Users #42,Paid Search,Upgrade,Free Users,2024-06-07,2024-08-04,6623.4,200,11
CMP1025,Subscription Offer - Referral - Micro Business #26,Referral,Subscription Offer,Micro Business,2024-07-01,2024-07-24,9180.14,2017,94
CMP1058,Acquisition - Email - Small Business #59,Email,Acquisition,Small Business,2025-06-22,2025-08-05,6769.4,718,14
CMP1000,Acquisition - Paid Search - Free Users #1,Paid Search,Acquisition,Free Users,2025-07-08,2025-08-10,3330.56,200,3
CMP1029,Subscription Offer - Display - Large Business #30,Display,Subscription Offer,Large Business,2025-02-19,2025-03-12,1648.19,200,10
CMP1046,Cross-sell - Social Media - Free Users #47,Social Media,Cross-sell,Free Users,2024-12-06,2025-02-05,14970.15,400,25
CMP1084,Acquisition - Paid Search - Medium Business #85,Paid Search,Acquisition,Medium Business,2024-03-05,2024-03-14,2392.95,200,3
CMP1004,Acquisition - Social Media - Paid Users #5,Social Media,Acquisition,Paid Users,2024-01-12,2024-02-05,1083.49,200,5
CMP1024,Acquisition - Push Notification - Medium Business #25,Push Notification,Acquisition,Medium Business,2025-02-17,2025-04-10,2181.85,399,9
CMP1037,Upgrade - Display - All Customers #38,Display,Upgrade,All Customers,2024-04-13,2024-06-17,4554.6,200,9
CMP1020,Acquisition - Display - Paid Users #21,Display,Acquisition,Paid Users,2025-04-19,2025-06-25,2182.19,200,9
CMP1087,Acquisition - Email - Micro Business #88,Email,Acquisition,Micro Business,2024-06-30,2024-09-08,2187.32,200,9
CMP1026,Retention - Email - At-risk Customers #27,Email,Retention,At-risk Customers,2024-10-22,2024-12-25,13745.21,1107,23
CMP1038,Subscription Offer - Paid Search - Paid Users #39,Paid Search,Subscription Offer,Paid Users,2025-12-03,2025-12-31,2002.37,200,7
CMP1055,Acquisition - Social Media - Medium Business #56,Social Media,Acquisition,Medium Business,2025-11-09,2025-12-31,13873.99,442,13
CMP1031,Upgrade - Referral - Micro Business #32,Referral,Upgrade,Micro Business,2024-06-05,2024-08-16,10841.44,1017,18
CMP1033,Reactivation - Email - Small Business #34,Email,Reactivation,Small Business,2025-06-29,2025-08-30,1371.33,200,7
CMP1044,Retention - Partnership - Medium Business #45,Partnership,Retention,Medium Business,2024-12-11,2025-01-13,8224.15,359,9
CMP1010,Upgrade - Paid Search - Medium Business #11,Paid Search,Upgrade,Medium Business,2024-11-29,2025-01-25,2085.56,200,11
CMP1003,Acquisition - Email - Large Business #4,Email,Acquisition,Large Business,2025-03-08,2025-05-21,24841.88,1992,108
CMP1067,Retention - Paid Search - All Customers #68,Paid Search,Retention,All Customers,2024-10-08,2024-11-05,827.76,200,9
CMP1083,Reactivation - Email - Free Users #84,Email,Reactivation,Free Users,2025-07-30,2025-08-21,2070.93,200,13
CMP1050,Retention - Display - All Customers #51,Display,Retention,All Customers,2024-06-30,2024-08-19,18139.71,706,17
CMP1006,Reactivation - Partnership - Paid Users #7,Partnership,Reactivation,Paid Users,2024-12-12,2025-01-19,5724.87,200,8
CMP1090,Subscription Offer - Paid Search - All Customers #91,Paid Search,Subscription Offer,All Customers,2024-04-13,2024-05-20,3589.39,200,3
CMP1098,Cross-sell - Display - At-risk Customers #99,Display,Cross-sell,At-risk Customers,2024-01-14,2024-01-24,1803.47,200,3
CMP1073,Subscription Offer - Paid Search - Large Business #74,Paid Search,Subscription Offer,Large Business,2024-08-27,2024-11-03,2315.03,200,3
CMP1082,Upgrade - Push Notification - Micro Business #83,Push Notification,Upgrade,Micro Business,2024-01-08,2024-01-23,2103.21,269,6
CMP1092,Acquisition - Display - Micro Business #93,Display,Acquisition,Micro Business,2025-09-29,2025-10-19,1971.78,200,2
CMP1061,Acquisition - Push Notification - All Customers #62,Push Notification,Acquisition,All Customers,2024-08-16,2024-09-30,2050.54,239,12
CMP1093,Cross-sell - Social Media - Medium Business #94,Social Media,Cross-sell,Medium Business,2024-07-27,2024-09-14,9996.17,234,3
CMP1040,Upgrade - Display - Large Business #41,Display,Upgrade,Large Business,2025-12-08,2025-12-27,13355.73,200,8
